lat,lon,vader_compound,
45.436511,12.332861,-19,
45.436511,12.332861,-19,
45.434245,12.338933,-19,
45.433828,12.341862,-19,
45.433828,12.341862,-19,
45.433828,12.341862,-19,
45.43381,12.339487,-19,
45.435307,12.338759,-19,
45.432739,12.338547,-19,
45.434298,12.338998,-19,
45.434298,12.338998,-19,
45.435743,12.348573,-19,
45.438009,12.347162,-19,
45.438009,12.347162,-19,
45.433432,12.340296,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.433432,12.340296,-19,
45.432852,12.339019,-19,
45.433432,12.340296,-19,
45.433432,12.340296,-19,
45.433432,12.340296,-19,
45.433432,12.340296,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.432852,12.339019,-19,
45.433688,12.339545,-19,
45.433484,12.339684,-19,
45.433922,12.339683,-19,
45.432739,12.338547,-19,
45.43375,12.337614,-19,
45.432739,12.338547,-19,
45.432739,12.338547,-19,
45.432739,12.338547,-19,
45.432739,12.338547,-19,
45.43375,12.337614,-19,
45.43375,12.337614,-19,
45.43375,12.337614,-19,
45.432222,12.325,-19,
45.43375,12.337614,-19,
45.432739,12.338547,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.431376,12.337367,-19,
45.434769,12.343163,-19,
45.434688,12.343183,-19,
45.43483,12.343088,-19,
45.433611,12.340683,-19,
45.434733,12.342827,-19,
45.433641,12.340988,-19,
45.433561,12.340588,-19,
45.433469,12.340469,-19,
45.433219,12.339788,-19,
45.434805,12.343144,-19,
45.434513,12.343086,-19,
45.434013,12.339577,-19,
45.43338,12.340194,-19,
45.433641,12.340988,-19,
45.434677,12.343152,-19,
45.433472,12.339897,-19,
45.433674,12.339977,-19,
45.434027,12.339294,-19,
45.43333,12.339744,-19,
45.433444,12.340255,-19,
45.434011,12.338497,-19,
45.443186,12.324963,-19,
45.433891,12.33723,-19,
45.433691,12.337502,-19,
45.43445,12.338494,-19,
45.43373,12.339988,-19,
45.433691,12.337502,-19,
45.439452,12.337111,-19,
45.433691,12.337502,-19,
45.432872,12.337236,-19,
45.433211,12.339783,-19,
45.434163,12.338494,-19,
45.435725,12.335452,-19,
45.434066,12.338419,-19,
45.435008,12.337419,-19,
45.434627,12.343086,-19,
45.434686,12.343247,-19,
45.438558,12.347486,-19,
45.438661,12.347527,-19,
45.43378,12.339838,-19,
45.437813,12.347388,-19,
45.433552,12.339611,-19,
45.433855,12.339905,-19,
45.43785,12.347497,-19,
45.43381,12.339487,-19,
45.434211,12.339525,-19,
45.433536,12.339241,-19,
45.433163,12.339961,-19,
45.434677,12.343069,-19,
45.433491,12.340186,-19,
45.434852,12.343113,-19,
45.434672,12.343088,-19,
45.434847,12.343197,-19,
45.434552,12.342686,-19,
45.433344,12.339858,-19,
45.434594,12.34308,-19,
45.434486,12.343088,-19,
45.434319,12.339263,-19,
45.434763,12.343002,-19,
45.433294,12.339561,-19,
45.434019,12.339458,-19,
45.433674,12.34005,-19,
45.434192,12.338418,-19,
45.433168,12.339888,-19,
45.434102,12.338247,-19,
45.438355,12.337753,-19,
45.433881,12.337839,-19,
45.433336,12.340521,-19,
45.434192,12.338418,-19,
45.434192,12.338418,-19,
45.434192,12.338418,-19,
45.434192,12.338418,-19,
45.434192,12.338418,-19,
45.433782,12.339051,-19,
45.433782,12.339051,-19,
45.434057,12.339481,-19,
45.434057,12.339481,-19,
45.434057,12.339481,-19,
45.434057,12.339481,-19,
