index,gpsTimeValid,date,time,millis,lat,lng,speed_mph,gsr,scr,slope_cps,recovery_s,it_date,it_time,emo_level
90,1,0,0,34363,0,0,0,569,-23.17,-2.12,-1.00,0,1000000,0.853
91,1,0,0,34726,0,0,0,567,-24.92,-4.82,-1.00,0,1000000,0.871
92,1,0,0,35089,0,0,0,567,-24.67,0.69,-1.00,0,1000000,0.868
93,1,0,0,35453,0,0,0,564,-27.39,-7.48,-1.00,0,1000000,0.888
94,1,0,0,35816,0,0,0,568,-23.16,11.66,-1.00,0,1000000,0.905
95,1,0,0,36207,0,0,0,606,14.70,96.81,-1.00,0,1000000,0.919
96,1,0,0,36572,0,0,0,620,28.41,37.57,-1.00,0,1000000,0.931
97,1,0,0,36935,0,0,0,619,27.13,-3.51,-1.00,0,1000000,0.924
98,1,0,0,37296,0,0,0,618,25.87,-3.49,-1.00,0,1000000,0.914
99,1,0,0,37657,0,0,0,608,15.71,-28.14,-1.00,0,1000000,0.927
100,1,0,0,38020,0,0,0,616,23.48,21.39,-1.00,0,1000000,0.938
101,1,0,0,38385,0,0,0,614,21.26,-6.07,-1.00,0,1000000,0.929
102,1,0,0,38748,0,0,0,612,19.07,-6.04,-1.00,0,1000000,0.912
103,1,0,0,39111,0,0,0,611,17.89,-3.25,-1.00,0,1000000,0.883
104,1,0,0,39473,0,0,0,610,16.72,-3.23,-1.00,0,1000000,0.855
105,1,0,0,39836,0,0,0,609,15.56,-3.19,-1.00,0,1000000,0.827
106,1,0,0,40199,0,0,0,608,14.42,-3.16,-1.00,0,1000000,0.801
107,1,0,0,40561,0,0,0,607,13.28,-3.13,-1.00,0,1000000,0.776
108,1,0,0,40925,0,0,0,607,13.15,-0.36,-1.00,0,1000000,0.743
109,1,0,0,41290,0,0,0,607,13.02,-0.36,-1.00,0,1000000,0.710
110,1,0,0,41653,0,0,0,606,11.90,-3.09,-1.00,0,1000000,0.696
111,1,0,0,42017,0,0,0,606,11.78,-0.33,-1.00,0,1000000,0.672
112,1,0,0,42380,0,0,0,606,11.66,-0.32,-1.00,0,1000000,0.646
113,1,0,0,42743,0,0,0,606,11.55,-0.32,-1.00,0,1000000,0.624
114,1,0,0,43138,0,0,0,605,10.44,-2.80,-1.00,0,1000000,0.619
115,1,0,0,43500,0,0,0,606,11.33,2.45,-1.00,0,1000000,0.615
116,1,0,0,43862,0,0,0,606,11.21,-0.31,-1.00,0,1000000,0.601
117,1,0,0,44225,0,0,0,606,11.10,-0.31,-1.00,0,1000000,0.586
118,1,0,0,44590,0,0,0,606,10.99,-0.30,-1.00,0,1000000,0.572
119,1,0,0,44954,0,0,0,606,10.88,-0.30,-1.00,0,1000000,0.561
120,1,0,0,45316,0,0,0,606,10.77,-0.30,-1.00,0,1000000,0.551
121,1,0,0,45679,0,0,0,606,10.66,-0.30,-1.00,0,1000000,0.543
122,1,0,0,46042,0,0,0,606,10.56,-0.29,-1.00,0,1000000,0.535
123,1,0,0,46404,0,0,0,606,10.45,-0.29,-1.00,0,1000000,0.529
124,1,0,0,46767,0,0,0,609,13.32,7.89,-1.00,0,1000000,0.585
125,1,0,0,47129,0,0,0,602,6.25,-19.51,-1.00,0,1000000,0.647
126,1,0,0,47494,0,0,0,599,3.22,-8.31,-1.00,0,1000000,0.682
127,1,0,0,47857,0,0,0,597,1.21,-5.54,0.00,0,1000000,0.696
128,1,0,0,48218,0,0,0,594,-1.77,-8.26,0.36,0,1000000,0.694
129,1,0,0,48580,0,0,0,592,-3.74,-5.42,0.36,0,1000000,0.680
130,1,0,0,48943,0,0,0,592,-3.70,0.10,0.73,0,1000000,0.657
131,1,0,0,49304,0,0,0,589,-6.63,-8.12,1.09,0,1000000,0.676
132,1,0,0,49669,0,0,0,588,-7.56,-2.53,1.45,0,1000000,0.677
133,1,0,0,50058,0,0,0,586,-9.46,-4.90,1.84,0,1000000,0.684
134,1,0,0,50419,0,0,0,584,-11.35,-5.22,2.20,0,1000000,0.698
135,1,0,0,50785,0,0,0,582,-13.21,-5.10,2.57,0,1000000,0.716
136,1,0,0,51148,0,0,0,581,-14.07,-2.36,2.93,0,1000000,0.718
137,1,0,0,51510,0,0,0,580,-14.92,-2.35,3.29,0,1000000,0.723
138,1,0,0,51874,0,0,0,579,-15.76,-2.31,3.66,0,1000000,0.730
139,1,0,0,52237,0,0,0,579,-15.60,0.43,4.02,0,1000000,0.722
140,1,0,0,52598,0,0,0,578,-16.44,-2.31,4.38,0,1000000,0.732
141,1,0,0,52962,0,0,0,577,-17.26,-2.27,4.74,0,1000000,0.743
142,1,0,0,53325,0,0,0,577,-17.09,0.48,5.11,0,1000000,0.739
143,1,0,0,53689,0,0,0,576,-17.91,-2.25,5.47,0,1000000,0.751
144,1,0,0,54052,0,0,0,576,-17.73,0.49,5.83,0,1000000,0.748
145,1,0,0,54414,0,0,0,576,-17.55,0.49,6.20,0,1000000,0.745
146,1,0,0,54776,0,0,0,576,-17.38,0.48,6.56,0,1000000,0.742
147,1,0,0,55138,0,0,0,576,-17.20,0.48,6.92,0,1000000,0.738
148,1,0,0,55500,0,0,0,576,-17.03,0.48,7.28,0,1000000,0.735
149,1,0,0,55863,0,0,0,576,-16.86,0.47,7.64,0,1000000,0.731
150,1,0,0,56228,0,0,0,576,-16.69,0.46,8.01,0,1000000,0.727
151,1,0,0,56589,0,0,0,575,-17.52,-2.28,8.37,0,1000000,0.741
152,1,0,0,56981,0,0,0,574,-18.33,-2.08,8.76,0,1000000,0.753
153,1,0,0,57344,0,0,0,573,-19.14,-2.22,9.13,0,1000000,0.768
154,1,0,0,57707,0,0,0,572,-19.94,-2.20,9.49,0,1000000,0.782
155,1,0,0,58070,0,0,0,572,-19.74,0.55,9.85,0,1000000,0.781
156,1,0,0,58431,0,0,0,571,-20.53,-2.20,10.21,0,1000000,0.795
157,1,0,0,58795,0,0,0,571,-20.32,0.56,10.58,0,1000000,0.793
158,1,0,0,59158,0,0,0,570,-21.11,-2.17,10.94,0,1000000,0.806
159,1,0,0,59522,0,0,0,571,-19.91,3.30,11.30,0,1000000,0.823
160,1,0,0,59888,0,0,0,571,-19.71,0.54,11.67,0,1000000,0.820
161,1,0,0,60251,0,0,0,570,-20.50,-2.18,12.03,0,1000000,0.828
162,1,0,0,60615,0,0,0,571,-19.31,3.28,12.40,0,1000000,0.839
163,1,0,0,60979,0,0,0,571,-19.11,0.53,12.76,0,1000000,0.833
164,1,0,0,61342,0,0,0,571,-18.92,0.53,13.12,0,1000000,0.819
165,1,0,0,61705,0,0,0,571,-18.73,0.52,13.49,0,1000000,0.806
166,1,0,0,62068,0,0,0,571,-18.55,0.52,13.85,0,1000000,0.795
167,1,0,0,62431,0,0,0,571,-18.36,0.51,14.21,0,1000000,0.785
168,1,0,0,62801,0,0,0,571,-18.18,0.50,14.58,0,1000000,0.775
169,1,0,0,63164,0,0,0,571,-18.00,0.50,14.95,0,1000000,0.766
170,1,0,0,63556,0,0,0,571,-17.82,0.46,15.34,0,1000000,0.758
171,1,0,0,63920,0,0,0,571,-17.64,0.49,15.70,0,1000000,0.751
172,1,0,0,64282,0,0,0,572,-16.47,3.22,16.06,0,1000000,0.769
173,1,0,0,64645,0,0,0,572,-16.31,0.45,16.43,0,1000000,0.768
174,1,0,0,65009,0,0,0,572,-16.14,0.45,16.79,0,1000000,0.754
175,1,0,0,65371,0,0,0,571,-16.97,-2.29,17.15,0,1000000,0.765
176,1,0,0,65736,0,0,0,572,-15.81,3.18,17.52,0,1000000,0.780
177,1,0,0,66102,0,0,0,572,-15.65,0.43,17.88,0,1000000,0.777
178,1,0,0,66465,0,0,0,572,-15.50,0.43,18.25,0,1000000,0.761
179,1,0,0,66829,0,0,0,572,-15.34,0.43,18.61,0,1000000,0.745
180,1,0,0,67192,0,0,0,571,-16.18,-2.30,18.97,0,1000000,0.757
181,1,0,0,67556,0,0,0,572,-15.03,3.16,19.34,0,1000000,0.773
182,1,0,0,67920,0,0,0,572,-14.88,0.41,19.70,0,1000000,0.770
183,1,0,0,68283,0,0,0,572,-14.73,0.41,20.07,0,1000000,0.755
184,1,0,0,68646,0,0,0,572,-14.58,0.41,20.43,0,1000000,0.738
185,1,0,0,69016,0,0,0,571,-15.43,-2.28,20.80,0,1000000,0.750
186,1,0,0,69379,0,0,0,571,-15.27,0.42,21.16,0,1000000,0.746
187,1,0,0,69742,0,0,0,571,-15.12,0.42,21.52,0,1000000,0.733
188,1,0,0,70105,0,0,0,571,-14.97,0.42,21.89,0,1000000,0.722
189,1,0,0,70495,0,0,0,571,-14.82,0.38,22.28,0,1000000,0.712
190,1,0,0,70859,0,0,0,571,-14.67,0.41,22.64,0,1000000,0.703
191,1,0,0,71222,0,0,0,571,-14.52,0.40,23.00,0,1000000,0.695
192,1,0,0,71584,0,0,0,571,-14.38,0.40,23.37,0,1000000,0.688
193,1,0,0,71948,0,0,0,571,-14.23,0.40,23.73,0,1000000,0.682
194,1,0,0,72313,0,0,0,571,-14.09,0.39,24.09,0,1000000,0.676
195,1,0,0,72676,0,0,0,571,-13.95,0.39,24.46,0,1000000,0.671
196,1,0,0,73039,0,0,0,571,-13.81,0.38,24.82,0,1000000,0.666
197,1,0,0,73402,0,0,0,572,-12.68,3.11,25.18,0,1000000,0.699
198,1,0,0,73765,0,0,0,571,-13.55,-2.38,25.55,0,1000000,0.719
199,1,0,0,74130,0,0,0,572,-12.42,3.08,25.91,0,1000000,0.742
200,1,0,0,74493,0,0,0,571,-13.29,-2.39,26.27,0,1000000,0.755
201,1,0,0,74858,0,0,0,571,-13.15,0.36,26.64,0,1000000,0.751
202,1,0,0,75224,0,0,0,570,-14.01,-2.35,27.01,0,1000000,0.766
203,1,0,0,75591,0,0,0,570,-13.87,0.38,27.37,0,1000000,0.763
204,1,0,0,75955,0,0,0,569,-14.72,-2.34,27.74,0,1000000,0.778
205,1,0,0,76318,0,0,0,569,-14.58,0.41,28.10,0,1000000,0.776
206,1,0,0,76681,0,0,0,569,-14.43,0.40,28.46,0,1000000,0.760
207,1,0,0,77044,0,0,0,569,-14.29,0.40,28.83,0,1000000,0.746
208,1,0,0,77435,0,0,0,568,-15.13,-2.17,29.22,0,1000000,0.765
209,1,0,0,77799,0,0,0,568,-14.98,0.42,29.58,0,1000000,0.765
210,1,0,0,78165,0,0,0,568,-14.83,0.41,29.95,0,1000000,0.753
211,1,0,0,78527,0,0,0,568,-14.68,0.41,30.31,0,1000000,0.742
212,1,0,0,78891,0,0,0,568,-14.54,0.40,30.67,0,1000000,0.733
213,1,0,0,79254,0,0,0,568,-14.39,0.40,31.04,0,1000000,0.724
214,1,0,0,79616,0,0,0,568,-14.25,0.40,31.40,0,1000000,0.716
215,1,0,0,79980,0,0,0,568,-14.11,0.39,31.76,0,1000000,0.710
216,1,0,0,80343,0,0,0,567,-14.95,-2.34,32.12,0,1000000,0.740
217,1,0,0,80707,0,0,0,567,-14.80,0.41,32.49,0,1000000,0.749
218,1,0,0,81070,0,0,0,567,-14.66,0.41,32.85,0,1000000,0.743
219,1,0,0,81435,0,0,0,566,-15.50,-2.31,33.22,0,1000000,0.771
220,1,0,0,81800,0,0,0,564,-17.33,-5.00,33.58,0,1000000,0.805
221,1,0,0,82168,0,0,0,563,-18.14,-2.22,33.95,0,1000000,0.828
222,1,0,0,82531,0,0,0,562,-18.95,-2.23,34.31,0,1000000,0.851
223,1,0,0,82896,0,0,0,561,-19.75,-2.19,34.68,0,1000000,0.871
224,1,0,0,83259,0,0,0,561,-19.55,0.54,35.04,0,1000000,0.870
225,1,0,0,83621,0,0,0,560,-20.35,-2.19,35.40,0,1000000,0.889
226,1,0,0,83986,0,0,0,559,-21.13,-2.15,35.77,0,1000000,0.906
227,1,0,0,84382,0,0,0,559,-20.92,0.53,36.16,0,1000000,0.902
228,1,0,0,84745,0,0,0,559,-20.71,0.58,36.53,0,1000000,0.891
229,1,0,0,85108,0,0,0,559,-20.51,0.57,36.89,0,1000000,0.880
230,1,0,0,85470,0,0,0,559,-20.30,0.57,37.25,0,1000000,0.871
231,1,0,0,85834,0,0,0,559,-20.10,0.56,37.62,0,1000000,0.862
232,1,0,0,86197,0,0,0,559,-19.90,0.55,37.98,0,1000000,0.853
233,1,0,0,86560,0,0,0,559,-19.70,0.55,38.34,0,1000000,0.845
234,1,0,0,86924,0,0,0,559,-19.50,0.54,38.71,0,1000000,0.837
235,1,0,0,87289,0,0,0,559,-19.31,0.53,39.07,0,1000000,0.830
236,1,0,0,87652,0,0,0,559,-19.11,0.53,39.43,0,1000000,0.823
237,1,0,0,88016,0,0,0,559,-18.92,0.53,39.80,0,1000000,0.816
238,1,0,0,88379,0,0,0,559,-18.73,0.52,40.16,0,1000000,0.810
239,1,0,0,88746,0,0,0,559,-18.55,0.51,40.53,0,1000000,0.804
240,1,0,0,89109,0,0,0,558,-19.35,-2.22,40.89,0,1000000,0.833
241,1,0,0,89472,0,0,0,558,-19.16,0.53,41.25,0,1000000,0.840
242,1,0,0,89836,0,0,0,558,-18.97,0.53,41.62,0,1000000,0.831
243,1,0,0,90199,0,0,0,558,-18.78,0.52,41.98,0,1000000,0.822
244,1,0,0,90564,0,0,0,557,-19.58,-2.20,42.35,0,1000000,0.849
245,1,0,0,90929,0,0,0,557,-19.38,0.54,42.71,0,1000000,0.853
246,1,0,0,91321,0,0,0,557,-19.19,0.49,43.10,0,1000000,0.842
247,1,0,0,91684,0,0,0,557,-19.00,0.53,43.47,0,1000000,0.832
248,1,0,0,92047,0,0,0,558,-17.82,3.25,43.83,0,1000000,0.857
249,1,0,0,92409,0,0,0,558,-17.64,0.49,44.19,0,1000000,0.861
250,1,0,0,92773,0,0,0,557,-18.45,-2.24,44.56,0,1000000,0.881
251,1,0,0,93137,0,0,0,557,-18.27,0.51,44.92,0,1000000,0.880
252,1,0,0,93502,0,0,0,557,-18.08,0.50,45.28,0,1000000,0.864
253,1,0,0,93866,0,0,0,557,-17.90,0.50,45.65,0,1000000,0.847
254,1,0,0,94229,0,0,0,557,-17.72,0.49,46.01,0,1000000,0.832
255,1,0,0,94592,0,0,0,557,-17.55,0.49,46.37,0,1000000,0.818
256,1,0,0,94956,0,0,0,558,-16.38,3.20,46.74,0,1000000,0.846
257,1,0,0,95322,0,0,0,558,-16.22,0.45,47.10,0,1000000,0.851
258,1,0,0,95685,0,0,0,558,-16.06,0.45,47.47,0,1000000,0.839
259,1,0,0,96048,0,0,0,558,-15.90,0.44,47.83,0,1000000,0.819
260,1,0,0,96410,0,0,0,558,-15.74,0.44,48.19,0,1000000,0.801
261,1,0,0,96772,0,0,0,558,-15.58,0.43,48.55,0,1000000,0.786
262,1,0,0,97135,0,0,0,558,-15.42,0.43,48.92,0,1000000,0.772
263,1,0,0,97497,0,0,0,558,-15.27,0.43,49.28,0,1000000,0.761
264,1,0,0,97861,0,0,0,558,-15.12,0.42,49.64,0,1000000,0.750
